QSO, Plate-MJD-fiber,ZemDR9Q,ZemDR9Q_PM, ZemHW10, ZemHW10_PM, BALSQO
J000154.90-004956.4, 4216-55477-0166,2.8302,0.0005,,,no
J001306.14+000431.8, 4217-55478-0020,2.1643,0.0004,2.169,0.002,no
J005922.65+000301.4, 3735-55209-0532,4.1822,0.0013,4.177,0.008,no
J012700.69-004559.1, 4229-55501-0337,4.0826,0.0027,4.097,0.002,no
J014548.55-000812.5, 4231-55444-0035,2.7903,,2.805,0.002,yes
J071843.50+391720.3, 3655-55240-0388,2.6298,0.0006,,,no
J073505.97+280327.0, 4456-55537-0704,2.3243,,,,no
J074711.14+273903.3, 4452-55536-0214,4.1143,0.0011,4.128,0.003,no 
J075240.18+092523.0, 4511-55602-0415,3.0223,0.0007,,,no
J075852.68+133530.8, 4506-55568-0824,3.3734,0.0014,3.386,0.007,no
J081337.14+155705.4, 4498-55615-0502,2.4498,0.0007,,,no
J083304.73+415331.3, 3808-55513-0892,2.3583,0.0008,2.329,0.007,no
J085825.71+005006.7, 3815-55537-0910,2.8684,0.0007,2.863,0.003,no
J092125.97-023411.9, 3766-55213-0046,2.8047,0.0005,,,no
J094023.55+404703.2, 4571-55629-0730,2.5839,0.0007,,,no
J094258.03+005359.5, 3826-55563-0860,2.4749,,,,no
J095005.90+362455.2, 4573-55587-0698,2.2442,0.0004,2.237,0.002,no
J095254.10+021932.8, 4743-55645-0118,2.1475,,2.153,0.002,no
J095603.47+382517.2, 4570-55623-0296,2.8962,0.0009,,,yes
J100400.20+372551.9, 4567-55589-0454,2.5347,,,,yes
J103456.31+035859.4, 4772-55654-0106,3.3867,0.0007,3.388,0.002,no
J110841.93+031735.1, 4741-55704-0786,3.3478,0.0009,,,yes
J111154.35+372321.2, 4622-55629-0678,2.0747,0.0003,2.074,0.002,no
J113000.22+344625.9, 4619-55599-0854,3.6188,0.0008,3.615,0.004,no
J120609.69+004522.6, 3844-55321-0920,2.6905,0.0006,2.691,0.003,no
J123056.28+345201.7, 3968-55590-0464,3.4913,0.001,3.493,0.003,no
J131307.93+065349.0, 4840-55690-0576,2.9136,,,,no
J133150.25+393417.7, 4708-55704-0418,1.9996,0.0005,1.991,0.003,yes
J133752.36-011924.7, 4046-55605-0085,2.7999,,2.835,0.005,yes
J135203.03+333938.3, 3861-55274-0582,3.0742,0.0014,3.079,0.004,no
J144356.21+062539.2, 4858-55686-0392,2.6063,0.0006,,,yes
J150339.76+183423.9, 3957-55664-0568,2.1848,0.0003,2.184,0.002,no
J151016.40+034200.0, 4776-55652-0216,2.2468,0.0006,,,no
J162445.03+271418.7, 5006-55706-0846,4.4572,0.0033,4.478,0.003,no
J162747.14+192639.7, 4060-55359-0940,2.4541,0.0006,,,no
J164653.72+243942.2, 4181-55685-0543,3.0329,0.0006,3.04,0.002,no
J165436.85+222733.8, 4178-55653-0608,4.691,0.0032,4.708,0.003,no
J171800.39+314203.9, 4998-55722-0306,2.4677,0.0005,,,no
J222559.52-004157.5, 4202-55445-0258,2.7721,0.0004,2.776,0.002,no
J231227.48+005231.7, 4209-55478-0712,3.571,0.0011,,,no
